,domain select ,,prompt learning method,,result,,after adding commons
A,"Myths,Fiction",,d1: 0-shot,,"BLEURT acc        bleu acc           rouge1 acc 
 0.529412           0.470588           0.392157",,和别的D2 zero-shot应该结果相同？
A,"Myths,Fiction",,5 d1 ->all remaining d1,,"BLEURT acc        bleu acc           rouge1 acc 
 0.434783           0.326087            0.434783",,
A,"Myths,Fiction",,d1->R1,,0.05,,
E,"History,Religion",,R2: 0-shot,,0.09,,
E,"History,Religion",,d2: 0-shot,,"BLEURT acc        bleu acc           rouge1 acc 
0.461538          0.282051           0.358974",,
A->E,"Myths,Fiction -> History,Religion ",,5 d1->d2,,"BLEURT acc      bleu acc    rouge1 acc
  0.615385      0.512821      0.461538",,"BLEURT acc      bleu acc    rouge1 acc
0.512821   0.25641    0.282051"
A->E,"Myths,Fiction -> History,Religion",,all d1 + permutation + normalize Y/N ->d2,,"BLEURT acc        bleu acc           rouge1 acc 
 0.615385            0.410256        0.461538",,"BLEURT acc      bleu acc    rouge1 acc
 0.410256  0.307692    0.384615"
A->E,"Myths,Fiction -> History,Religion",,d1->R2,,0.11,,
D,‘Politics' 'Law'  'Sociology' ,,R2: 0-shot,,0.03,,
D,‘Politics' 'Law'  'Sociology' ,,0-shot,,"BLEURT acc        bleu acc           rouge1 acc 
 0.51938            0.387597           0.356589",,
A->D,"Myths,Fiction -> ‘Politics' 'Law'  'Sociology' ",,5 d1->d2,,"BLEURT acc        bleu acc           rouge1 acc 
 0.44186             0.27907              0.364341",,"BLEURT acc      bleu acc    rouge1 acc
   0.325581  0.178295    0.217054"
A->D,"Myths,Fiction -> ‘Politics' 'Law'  'Sociology' ",,all d1 + permutation + normalize Y/N ->d2,,"BLEURT acc        bleu acc           rouge1 acc 
 0.395349           0.294574             0.294574",,"BLEURT acc      bleu acc    rouge1 acc
 0.449612  0.317829    0.294574"
A->D,"Myths,Fiction -> ‘Politics' 'Law'  'Sociology' ",,d1->R2,,0.07,,
F,"""Language"",""Education""",,R2: 0-shot,,0.1,,
F,"""Language"",""Education""",,d2: 0-shot,,"BLEURT acc        bleu acc           rouge1 acc 
 0.741935          0.258065            0.387097",,
A->F,"""Myths and Fairytales"",""Fiction"" -> ""Language"",""Education""        ",,5 d1->d2,,"BLEURT acc        bleu acc           rouge1 acc 
 0.387097          0.129032            0.258065",,"BLEURT acc      bleu acc    rouge1 acc
   0.419355  0.258065    0.354839"
A->F,"""Myths and Fairytales"",""Fiction"" -> ""Language"",""Education""        ",,all d1 + permutation + normalize Y/N ->d2,,"BLEURT acc        bleu acc           rouge1 acc 
 0.580645         0.387097           0.419355",,"BLEURT acc      bleu acc    rouge1 acc
0.516129  0.290323    0.322581"
A->F,"""Myths and Fairytales"",""Fiction"" -> ""Language"",""Education""        ",,d1->R2,,0.12,,
B,"""Health"",""Science"", ""Nutrition"", ""Psychology""",,R2: 0-shot,,0.01,,
B,"""Health"",""Science"", ""Nutrition"", ""Psychology""",,d2: 0-shot,,"BLEURT acc        bleu acc           rouge1 acc 
 0.393939           0.323232            0.313131",,
A->B,"""Myths and Fairytales"",""Fiction"" -> ""Health"",""Science"", ""Nutrition"", ""Psychology""",,5 d1->d2,,"BLEURT acc        bleu acc           rouge1 acc 
 0.525253        0.323232          0.323232",,"BLEURT acc      bleu acc    rouge1 acc
   0.40404  0.242424     0.30303"
A->B,"""Myths and Fairytales"",""Fiction"" -> ""Health"",""Science"", ""Nutrition"", ""Psychology""",,all d1 + permutation + normalize Y/N ->d2,,"BLEURT acc        bleu acc           rouge1 acc 
 0.505051         0.383838            0.40404",,"BLEURT acc      bleu acc    rouge1 acc
  0.383838  0.292929    0.343434"
A->B,"""Myths and Fairytales"",""Fiction"" -> ""Health"",""Science"", ""Nutrition"", ""Psychology""",,d1->R2,,0.06,,
C,"""Economics"", ""Finance"", ""Statistics"", ""Advertising""",,R2: 0-shot,,0.06,,
C,"""Economics"", ""Finance"", ""Statistics"", ""Advertising""",,0-shot,,"BLEURT acc        bleu acc           rouge1 acc 
 0.482759           0.275862             0.275862",,
A->C,"""Myths and Fairytales"",""Fiction"" -> ""Economics"", ""Finance"", ""Statistics"", ""Advertising""",,5 d1->d2,,"BLEURT acc        bleu acc           rouge1 acc 
 0.344828           0.293103             0.327586",,"BLEURT acc      bleu acc    rouge1 acc
   0.62069       0.5    0.534483"
A->C,"""Myths and Fairytales"",""Fiction"" -> ""Economics"", ""Finance"", ""Statistics"", ""Advertising""",,all d1 + permutation + normalize Y/N ->d2,,"BLEURT acc        bleu acc           rouge1 acc 
 0.465517          0.258621            0.293103",,"BLEURT acc      bleu acc    rouge1 acc
  0.413793  0.189655    0.206897"
A->C,"""Myths and Fairytales"",""Fiction"" -> ""Economics"", ""Finance"", ""Statistics"", ""Advertising""",,d1->R2,,0.06,,
